点赞数,姓名,时间,评论
"('7',)","('中二又深情',)","('2019-02-05',)","('外星人集合了中国喜剧电影四巨头之三（宁浩沈腾黄渤），拍出这个效果相当于詹皇阿杜库里带队结果勉强进季后赛然后没进西决，整体上当然不算差，但对于这个阵容那就是不及格。',)"
"('4',)","('Creep_',)","('2019-02-05',)","('废话还是有点略多。',)"
"('7',)","('郝小勺',)","('2019-02-05',)","('这简直是闹剧贺岁档界的标杆啊！还以嬉皮笑脸的姿态蹭了一众国内外电影。',)"
"('8',)","('友邻广播',)","('2019-02-05',)","('？？？新年第一部片就睡过去了。。真他妈无聊。。。不知道在讽刺什么（我觉得我们都是猴，嘻嘻）',)"
"('8',)","('次家神受',)","('2019-02-07',)","('回家回味了下，决定再降一星。全片不适感强烈，后半段剧情崩坏，能把乡村教师的本子拍成这样真不敢相信是宁浩的水准',)"
"('6',)","('touya',)","('2019-02-06',)","('可以说是失望。越到后来越觉得是在靠两个演员的个人魅力在撑。同样是荒诞感，这部和另外两部疯狂系列的观感差的不是一星半点。导演想表达的东西我都懂，但是手法不行。都在酒里了，可能更像是个白酒推广片吧。',)"
"('7',)","('ccjd',)","('2019-02-05',)","('这个电影和刘慈欣的科幻小说没有任何关系，就是刘慈欣火了，就要借这么个名',)"
"('6',)","('隐锦茶壶',)","('2019-02-05',)","('PIGMovie1st:看完第一感受是失望，并没有看出宁浩的诚意，科幻部分扯淡，喜剧部分敷衍，这都9012年了，还用tmd 妈的来强行喜剧。高潮是啥？高潮难道就是这万磁王跟那掌控雷电？倒还不如把莫斯科巴西埃及的戏多拍拍，没准还能做个旅游宣传片。今年春节，中美合拍的《疯狂的外形银儿》已经上映，建议不看。',)"
"('8',)","('白玉堂',)","('2019-02-05',)","('边际效用递减',)"
"('6',)","('架构师',)","('2019-02-05',)","('富力海珠城电影院17:30场。毫无疑问是一星烂片，外星人造型丑到没法看，比捉妖记那个还丑。最让我不能接受的是，有三分之一的时间是十多个外国演员完全讲着英语在演。对比《流浪地球》国产片拍得像外国片，这个是直接把外国片当成国产片上映了。',)"
"('6',)","('mandym',)","('2019-02-05',)","('人物太扁平了，剧情荒诞，没有故事，虽有隐喻但也仅如此而已。2/5。如果要看懂隐喻反讽才能懂这片的主题的话，那可能真的看不懂。2/6',)"
"('7',)","('Panda的阴影',)","('2019-02-06',)","('《流浪地球》和《疯狂的外星人》春节档票房大卖，刘慈欣或超越沈腾成最大赢家。宁浩（和雷佳音）在《流浪地球》中有客串，沈腾也是《飞驰人生》的主演，大飞对耿浩说的那句「我养你」串戏到《新喜剧之王》，而「醉拳」还能牵连到《神探蒲松龄》的成龙，现在如何关联到春节档另一部真人电影？→ 片中出现的不少粤语台词，而《廉政风云》主创刚好大多数是说粤语的香港人。（犯我地球者，虽远必诛。→《战狼》→吴京←《流浪地球》。）—— 海报→《外星人E.T.》，配乐→《2001太空漫游》。—— 比起接地气、多线叙事的《石头》《赛车》，《外星人》的剧情简直是瞎扯。虽然电影片尾字幕写「没有动物在拍摄时受到伤害」，但故事里却蛮多虐待动物（外星人）的情节，外加不少笑点是通过「打骂」的方式营造，真是怀疑片子逗笑小朋友的同时会不会也教坏他们？',)"
"('3',)","('韧勉',)","('2019-02-08',)","('枪版，结局差两分钟，完全就是跟观众玩儿了场猴戏，把观众当猴子耍，情节老套很无聊，除了音乐致敬2001环游太空以外，都江郎才尽乏善可陈。',)"
"('7',)","('水鱼宝宝',)","('2019-02-05',)","('没想到居然是文体两开花的电影，结合了中国花果山ip和外星人，耍狗改耍外星人和大刘的原著小说已经没有什么关系了……黑色幽默喜剧吧。。但是笑点一般，美帝显得格外智障，又溜了外星人又溜了美帝。。。。嗯…………嗯……有点失望。',)"
"('6',)","('悟饭婆婆',)","('2019-02-05',)","('宁浩疯狂系列最差一部，观看期间不断在跳戏，剧情有些乱，人物塑造不知其所以，失望。PS：小朋友们应该很喜欢。',)"
"('6',)","('過期罐頭',)","('2019-02-05',)","('周星驰不玩儿猴，宁浩开始玩猴了，猴不好玩啊',)"
"('9',)","('TAKA小狮子',)","('2019-02-06',)","('还是拍无人区的那个宁浩吗？',)"
"('6',)","('殊途同归',)","('2019-02-05',)","('别的导演可能勉强给到三星，宁浩，那可能不合格得有点过了。更多的是怀疑自己是不是没看懂更深的内涵，黑色幽默，隐喻什么的？似乎确实止于此了，有大荒诞，比如最后全世界代表景观一块儿大爆炸（顺便这特效也是？）。除此以外，没有什么精巧的结构，没有什么妙的笑点（干涩的刻意为之的有），没有什么人性的拷问或赞美（主角的立场我都没整明白呢），科幻…？算了吧。反正我说不出“黑色”也说不出“幽默”。可圈可点的细节？放弃了。定位成白酒的大型软广，可能更合适些',)"
"('7',)","('仓房',)","('2019-02-05',)","('虽然整个影厅大家都笑得很开心，但我真的笑不出来啊！一点也不好笑啊！？？看完电影怀疑人生，人的笑点和笑点之间差距是有那么大的吗？？',)"
"('6',)","('殇潮|Enigma',)","('2019-02-06',)","('宁浩喝假酒了吧…人家都想摆脱低级趣味，没见过这上赶着往上凑的…',)"
"('3',)","('Mallory',)","('2019-02-06',)","('这片子真是支性十足了，全场笑成一片，有点可怕，如果耍猴是国粹的话，国粹还是快点消亡了吧。唯一合我胃口的就是音乐了，唢呐版查拉图斯特拉如是说，二手玫瑰，牛逼！',)"
"('4',)","('孟三哥',)","('2019-02-05',)","('宁浩拍成了一场闹剧！！',)"
"('3',)","('hiro',)","('2019-02-07',)","('除了跟外星人一顿打闹以外没有任何剧情，美国和俄罗斯演员英文都说了字幕还用字母代替，美国特工来中国执法不知道怎么过审的',)"
"('5',)","('靜靜雞話妳知吖',)","('2019-02-05',)","('太失望了，宁浩最差的作品，没有之一',)"
"('5',)","('飞行棋殿军',)","('2019-02-06',)","('票房不错的烂片吧 跟前两部疯狂系列差太多了',)"
"('4',)","('韵外之致',)","('2019-02-07',)","('意淫洋大人吃中国人的屎那么爽？最后一段变孙悟空了？外星人沉迷中国酒桌文化？啥？？！',)"
"('3',)","('杨浦小囡',)","('2019-02-06',)","('也就是一个合家欢爆米花电影，相比起前两部疯狂系列退步许多，这部电影也就分为4个层次，说通俗点跟炒蛋饭是一个原理，先是饭，也就是这部电影的主题去动物园看的训猴表演 在这个基础上又加了点盐 加入了一点外星人的元素，为了使这个电影显得洋气一些，加了点洋鸡蛋，也就是片中外国人寻找外星人的桥段，最后为了使电影锦上添花，撒了一把葱，生拉硬扯的把西游记的桥段融入其中，刨去这些细枝末节，给我的感觉没有什么新意，挺平淡无奇的一部作品，但是却意外发现黄渤有当驯养员的潜质，整体评分2.8',)"
"('4',)","('功夫兔子',)","('2019-02-06',)","('全场我就没笑哪怕一次，难得啊！大过年的你就给我看这个？！这次没抱期望也更具失望了。',)"
"('3',)","('快乐王子',)","('2019-02-06',)","('如果把《疯狂的外星人》的荒诞隐喻为朝鲜的金三胖和他的原子弹，你会觉得才是真正的荒诞。',)"
"('5',)","('两江狐子',)","('2019-02-05',)","('大型坏猴子前传，有自我告白之意。剧本也许不错，原作看过忘了，就成片来看这个故事很黑暗，偏偏做成喜剧，越看越别扭。猴和人一样都是灵长类，智商不低，训猴或说虐猴过程看久了会别扭，跟“恐怖谷”概念类似。也不知道宁浩是否真有这个意思，外星人的肢体被设定得形似猴子，表情也类似于人，世界公园里的两个江湖骗子把外国人一通耍，把外星人一通虐待洗脑驯化，激怒后反抗然后屈服于地球文明，非常反智且不可一世，还伪装成笑点要从观众这捞一笔，用心坏得很吧。',)"
"('6',)","('爱在巴黎',)","('2019-02-05',)","('瞎胡闹的片子，好失望，宁浩作品中相当差的一部了，水准和“黄金大劫案”差不多。',)"
"('3',)","('小鬼家的师公',)","('2019-02-05',)","('片头编剧列表一出，这么多人，瞬间就知道这片不值得一看了~沈腾和黄渤本色演出，完全没有角色的代入感~开场5分钟一位中年男子就大打呼噜~能笑出声的都是较低龄化的人群~剧情无悬念，陈词滥梗拼凑出了段子式的台词~片中不少致敬经典的桥段和音乐也是用的人得意，看的人尴尬~同是宁浩监制，《我不是药神》诚意满满，高分神作~这部就差强人意~同是沈腾主要，《飞驰人生》就幽默又励志~这部就无知所云~除了带着多年积累的人气和口碑来圈钱，我再也想不出还有什么更“香喷喷”的拍片理由了~',)"
"('7',)","('SundanceKid',)","('2019-02-05',)","('土味科幻屎尿屁，故事弱的只能靠演员个人魅力拯救，笑点只能靠和外星人互相捉弄这种段子。让美帝吃屎这种调动情绪的讨巧，一副自大的俯瞰生物和宇宙的心，再靠喝酒这种中国式的办法草草解决问题，最后真的变成了一出猴戏。',)"
"('3',)","('孔府小鱼',)","('2019-02-06',)","('首先已经预料到，这部电影和《乡村教师》真的是毫无关系，其次宁浩这次放弃了自己的多线叙事强项，而全片平铺直叙，只采用荒诞来作为搞笑需要，没有得到期望的反转。但是细一想，这就是部基佬片，沈腾期待黄渤“往前走一步”，连“我养你”的准备都做好了。',)"
"('6',)","('7h',)","('2019-02-06',)","('说是疯狂不如说是疯癫，开头就是强烈的网络大电影质感，然后就带着这样的不适看完了全片，中华土味大舞台风格的笑点让我恍然间以为在看开心麻花。不是挖不出深的东西来，但实在难看。只有一处赞同的：地球交给你们了，毁灭吧赶紧的。',)"
"('8',)","('黄果',)","('2019-02-06',)","('我宣布，宁浩被我从我喜欢的导演名单中剔除了。',)"
"('3',)","('神威太太',)","('2019-02-07',)","('我討厭沈騰！！！！！！！',)"
"('3',)","('猫奴十二年',)","('2019-02-05',)","('感觉我是在村里看坝坝电影，叽哩哇啦地大声讨论，莫名其妙地哈哈大笑。首先作为喜剧我是没笑几下的，其次由于中午才看了地球导致我对这片的特效感到不适，最后借我爸的评论:“这片子有点(重音)意思，但再多点意思也没有了”',)"
"('4',)","('徐小亮儿',)","('2019-02-06',)","('你站在楼上看风景， 看风景的人在楼上看你。 外星人装饰了你的杂戏团， 你装饰了别人的梦。',)"
"('4',)","('李大米',)","('2019-02-06',)","('真是让人一言难尽的“喜剧”，笑不出来，emmm，巩汉林老师演的挺好……感觉自己被当猴耍了，最后耍猴解决问题让人产生极度不适……',)"
"('3',)","('秦娥夢斷秦樓月',)","('2019-02-06',)","('无聊到睡着～',)"
"('2',)","('☁蹦',)","('2019-02-06',)","('我都不知道电影院里看着虐待动物 大声嘶喊外形杂种 笑得打滚的小朋友们 以后会成长为什么样的人。',)"
"('3',)","('锟斤拷',)","('2019-02-06',)","('嗯，耍猴呢。',)"
"('5',)","('落卜卜',)","('2019-02-05',)","('片尾专门说拍摄过程中没有一只动物受伤，我也不知道耍猴这门“国粹”在现实生活中到底涉及不涉及虐待动物，但是照电影看是肯定有伤害的，作为电影中的虐畜者还自豪得不行，最后打败外星人全靠酒文化，还是鼎鼎大名的药酒，愚蠢的外国人还得吃翔……不是说自己是黑色幽默反讽喜剧就能遮盖住的。尽管电影很搞笑，但是沈腾的插科打诨也拯救不了',)"
"('6',)","('小糖人',)","('2019-02-05',)","('为什么拍出无人区的导演，会拍出疯狂外星人？突然想明白了，一点儿也不奇怪。他太懂底层的弱肉强食生存逻辑，但不知道人类未来正是在整个宇宙世界里。且到现在还在用无知解构美帝，太狂妄了。 看过降临和火星救援、2049再看这个，就觉得太尴尬。降临里是如何扎实地讲外星文明的交流的，这里就有多无知。 它可以拍文明的混乱，沟通的误区，但是不要拍成无知和狂妄的“反讽”。 这片子应该叫做《齐天大圣穿越到乐华游乐世界》。',)"
"('2',)","('砚小朵™',)","('2019-02-05',)","('让我想起前阵子那部草根黑色喜剧《无名之辈》，但显然宁浩拥有更好的导演才能，这才让我更加惋惜……他和黄渤沈腾的阵容，即便是最无聊的春晚水平的笑点，都能让电影院里的大爷大妈们笑到岔气，本片中我唯一没忍住的笑点，竟然是吃屎球这种屎尿屁梗，作为稀缺的懂镜头语言而不是拿段子咯吱人的本土喜剧导演，还用了这么豪华的阵容，他不应该更加对自己高要求一点吗？别跟我抬杠商业片不需要有追求，他就是摆明了中国老百姓不该懂更好的东西，强行接地气，如果真的没有追求，就麻烦不要在片头写上，改编自《乡村教师》。',)"
"('3',)","('Uni Unicorn',)","('2019-02-06',)","('令人不适的笑点还有莫名其妙的自以为是的立场，可能莫名其妙的是我，反正坐在电影院被周围的笑声包围住的时候我是一点都笑不来',)"
"('4',)","('小木心熊',)","('2019-02-05',)","('真的不好看… 从头到尾就是几个零星笑点，不知所云… 一颗给黄渤，一颗给沈腾，在屏幕上看到他们还是很开心的～',)"
"('4',)","('ChrisKirk',)","('2019-02-06',)","('全是符号，没有意义。',)"
"('4',)","('cesil',)","('2019-02-06',)","('曾经有传教士这么描述清朝：那些船工背后偷东西使坏，一旦被抓住就会下跪求饶。看来国民性没有什么进步，但我相信这是宁浩的电影世界，他不相信科幻片的存在世界，也不会拍；本片不是知识分子刘慈欣的世界观。',)"
"('4',)","('梁氏佑卿',)","('2019-02-07',)","('不想承认自己看过这部电影，虽然票免费，时间很宝贵。两星给沈腾和雷佳音。',)"
"('4',)","('科学家种太阳',)","('2019-02-05',)","('https://m.weibo.cn/1927070524/4336416328747655',)"
"('6',)","('大鱼',)","('2019-02-05',)","('糊弄人呗？好尴尬，导演毫无诚意',)"
"('1',)","('内有恶犬',)","('2019-02-05',)","('很使劲很干巴的荒诞与幽默，宁浩真爱粉看了想扶额。把沈腾黄渤换成小沈阳岳云鹏，是不是就直接慢走不送了？',)"
"('0',)","('方枪枪',)","('2019-02-08',)","('也就这么回事吧，今年春节档整体不太行啊……2.8',)"
"('1',)","('受惊的兔子',)","('2019-02-05',)","('土味合家欢科幻喜剧，整体流畅。三次出现的《2001太空漫游》main theme和致敬ET外星人cosplay算是迷影观众的小小惊喜。',)"
"('3',)","('逻姬恨剧透',)","('2019-02-07',)","('19-2-6 春节档的喜剧仿佛必须为了民族自豪感和佳节气息而恶俗一下 真low 炸了。mock西方yy带来自信和快乐嘛？一分钱特效出现在春节档 中国电影真的算了吧',)"
"('4',)","('碎伶',)","('2019-02-07',)","('逻辑不通，全程很尬，只靠沈腾的喜剧笑点在死撑，宁浩这是怎么了？',)"
"('1',)","('弥赛亚代言人',)","('2019-02-08',)","('这片子……可是太特么无聊了！宣传期把神仙组合往外一贴，努力给观众一个爆笑喜剧的假象，内里却是出黑色幽默闹剧——即便这手段，毕赣上个月刚玩儿砸……当然，说到底电影好坏与宣传真假关系不大，问题宁浩这一次拍得是真烂，就差没把追求平等的主题贴脑门上了，厉害国意淫加上low到爆的美帝黑，折腾一通最后落到都是被耍的猴谁也不比谁高多少……致敬都看得出，意思也都看得懂，还是那句话，这可是太特么无聊了！PS：为什么没给一星？即便片子烂成这样，黄渤+沈腾的神仙组合还是保证了表演上有内容可看，不容易啊！',)"
"('1',)","('wangzhy',)","('2019-02-08',)","('讽刺章金莱猴戏以及戏谑姜文战狼周星驰降临也没问题 就是内核最终的出路还是个民俗酱缸 这真是想象力和格局的降维',)"
"('5',)","('57',)","('2019-02-07',)","('像个大型小品，一味地装疯卖傻，巧合接力，之前还会精心设置，如今只剩接地气一个优点，放春晚笑不出来，放到银幕上一样。中国美国，地球外星，科幻片和西游记，哪个题目都能套得上，但也就套上而已，没什么延伸，连隐喻都不算，一眼到头的小聪明，导演可能还不自知，他就是他所讽刺的那种人。春节档是个奇观，感觉导演们都在为档期拍电影，档期影响甚至决定影片内容，其他谈论都显得无用而多余。',)"
"('2',)","('小背心儿',)","('2019-02-08',)","('别推荐了 不好看',)"
"('2',)","('bloom',)","('2019-02-07',)","('太悲哀了，看着难受。符号戏仿寓言其实都耍得挺到位挺有想法。宁浩题材上对小人物的关切被偷换为了一个巨婴式“作者”的尖叫与苦恼。但接下来的问题是，心知肚明而存活于酒精暴力之中是完形的人吗？提出问题停步于这一步、手持皮鞭的也是作者吗？所谓“作者”只是痛苦的自我太大。喜剧或许从破坏开始，但它甚至从未将目光投向荒唐世界之外。人们真的接受做猴或者耍猴吗，这部电影如何思及自己春节档的观众？倒确实是一部很刘慈欣的作品。如果没有另一种活法，我宁可去死。这可能只是一种选择。',)"
"('3',)","('Renoir',)","('2019-02-06',)","('乏善可陈',)"
"('1',)","('夜阑听雨',)","('2019-02-05',)","('中美合拍、齐天大圣、所以这是文体两开花？',)"
"('1',)","('黑木头',)","('2019-02-05',)","('之前爆出虐狗事件 一直未做正面回应 影片里还有动物表演 电影就可以为了票房而一直做违背社会呼吁的事情吗 宁浩还要点脸吗',)"
"('3',)","('233',)","('2019-02-06',)","('剧情无聊，笑点尬，情节刻意做作，前十分钟沉闷得让我想直接走人',)"
"('0',)","('小J²',)","('2019-02-08',)","('玩的也太飞了。',)"
"('1',)","('St.Me',)","('2019-02-07',)","('以后地球真要和外星人建交的话，看到我们的文明里有这样一部侮辱外星人的电影会作何感想？妄自尊大的自嗨脑残片，蹭科幻热度，没有一点内涵。',)"
"('1',)","('Morning',)","('2019-02-08',)","('很多情节我是满脸问号的，当然坐在影院椅子上不顾笑声思考下，还是能够将这些符号们联系起来的，意象嘛，古诗那么小的体量都能完成符号之间的联结及阐释新的意义，别说电影这种综合艺术了。同《心花路放》一样，更多的是展现成熟的套路和技巧，我仅仅是觉得将这些东西贡献用来辅佐这样一个故事，是可惜的。',)"
"('2',)","('猫夏',)","('2019-02-06',)","('可以打零分吗',)"
"('0',)","('纠结咪',)","('2019-02-08',)","('I know 黄渤 is a good actor，I just feel sick of屎尿屁',)"
"('0',)","('夏南',)","('2019-02-07',)","('我国喜剧男演员还有没有别人了？拍成这样丢不丢人？……故事核心低幼 整体节奏有问题 演员美术整那大功夫浪费人力财力呢？？成天致敬来致敬去恶心死了',)"
"('2',)","('孙鲇鱼',)","('2019-02-05',)","('作为一个有点动保敏感的人 对这种耍猴设定 不是人训猴 就是猴训人的设定 看到极度不舒服 尤其是最后黄渤拿着香蕉对着欢欢的瞬间 感觉片子宣扬的人类的高级支配欲望已经太鼎盛 对于外星人的高端物种设定 我只想说这根本跟科幻片没有半毛钱关系吧 作为一个喜剧片 也很失败 黑化美帝 并没有让我们发笑 对我而言真是还没有往年的澳门风云好看 难得的一星看完就给你',)"
"('1',)","('好运来',)","('2019-02-07',)","('低分因为没主线 我本人也不喜欢驯动物的镜头 外星人附体猴的那段已经在凑时间了 黄渤的表演极限就到这了 沈腾的喜剧天赋更好一点。客观的说比飞驰人生有意思一点。',)"
"('1',)","('YthguaN',)","('2019-02-05',)","('看不到对科幻一丁点的尊重 很高期待很大失望 【即使本片拍摄过程中没有任何动物受伤 动物表演也不该是值得鼓励的行为',)"
"('1',)","('熬夜真的很不好',)","('2019-02-06',)","('我真的笑不出来，而且有些不舒服……',)"
"('1',)","('蜕',)","('2019-02-07',)","('勉强能看吧，看到后来有点不耐烦',)"
"('2',)","('lothron',)","('2019-02-07',)","('人生看过的最精神折磨的电影。你国爹文化的终极胜利。关于外星人，前有The Man Who Fell to Earth；关于猴儿，前有大闹天宫。结果9102年了就拍出了这垃圾。',)"
"('3',)","('Gretta',)","('2019-02-06',)","('黑色幽默式战狼，春节档上映的影片果然都是国家主义宣传片，鼓舞广大基层群众积极投身于社会主义正能量反渗透西方资本主义意识形态的伟大事业中去，比如从让美帝在太空拍抖音开始。',)"
"('3',)","('行云9号',)","('2019-02-05',)","('春节档期待值最高的一部，看完却如X在喉，如X被耍。。。',)"
"('1',)","('神秘金针菇',)","('2019-02-06',)","('愚蠢，谄媚。音乐不错。',)"
"('2',)","('szxy',)","('2019-02-06',)","('期待越大，失望就越大只能说心疼我浪费了两个小时',)"
"('0',)","('蒙莎',)","('2019-02-07',)","('睡着了。。。。。',)"
"('3',)","('核蛋Klakt',)","('2019-02-05',)","('太TM扯了',)"
"('1',)","('just',)","('2019-02-06',)","('对我来说，不是荒诞是扯蛋，这明明就是把观众当猴耍呢，究竟笑点在哪里？新年贺岁，有够无聊的。我们真是莫名自大，像傻子一样意淫……',)"
"('2',)","('陈四喜',)","('2019-02-05',)","('咋说呢，通篇都是为了搞笑而搞笑的设计，不能说笑果不好，毕竟周围的观众都笑了。但是剧情中有满满的中年老直男的恶臭气息，凭什么人和外星人永远都是那种对立的关系，为啥美国总统到特工都是蠢货。把《乡村教师》改成现在这个样子，我替制作方买《乡村教师》的版权感到不值。',)"
"('6',)","('立强',)","('2019-02-05',)","('给我粗制滥造的感觉，没有一个好的故事，蛮荒诞的一个闹剧',)"
"('4',)","('骨噜',)","('2019-02-07',)","('无论是对打骂动物还是以""炫耀""的语气说""c国""都非常令人不适。剧情也是一直跑偏。',)"
"('3',)","('少年歌声眠旧巷',)","('2019-02-05',)","('不知道是不是我对宁浩要求太高 真的没有疯狂的石头打动我',)"
"('2',)","('S.A.R.S',)","('2019-02-06',)","('爆米花',)"
"('1',)","('Mr Film 萧然君',)","('2019-02-05',)","('看完《疯狂的外星人》你可能会深深地怀疑这是宁浩的导演作品，更不用说它改编自刘慈欣的《乡村教师》了，估计大刘看完都要怀疑自己到底有没有卖掉原著的版权。这部电影就像黄渤在片中的老本行一样，活脱脱就是一场猴戏，诚然你能从中找到些许趣味，但是当你离开耍猴摊子的那一刻快乐也就戛然而止了。当然，宽容的中国观众向来对这种喜剧有着对耍猴一样趋之若鹜的热情。',)"
"('1',)","('千里落花风',)","('2019-02-07',)","('对不起，冲着严肃八卦推荐去看的，结果无聊到睡着，很没意思的一个片儿，严八也越来越没有节操了',)"
"('3',)","('男二总',)","('2019-02-05',)","('如果这部算“疯狂三部曲”的最后一部的话，未免也太差了些。全片就是在耍猴，这也算黑色幽默，荒诞喜剧？外星人是怎么移魂大法的，怎么起死回生的，也完全没交待。最后喝“断片”了，就建交走了？如果要强行做阅读理解的话，以虐待动物警示不要虐待动物？调侃酒能解决一切问题？宁浩拍得好的电影都是多线叙事，学习能力非常强，这部电影也是，知道贺岁片“闹腾”就完事了，票房不会差。ps:沈腾个人风格实在太强了，铁三角把徐峥换了后，你甚至看不出这是宁浩的电影。同理《飞驰人生》里的韩寒乞也被他削弱不少。',)"
"('0',)","('monkeyeason',)","('2019-02-07',)","('无比尴尬，格局太低，还打着大刘的旗号🙈',)"
"('2',)","('啊丫希',)","('2019-02-06',)","('干啥呢这是……真耍猴呢……充满了各种歧视和不怎么好笑的笑点，就剩沈腾的贱样能撑场面了，渤哥的土嗨气质被莫名其妙的尊严给冲淡了，宁浩的黑色幽默被白酒搞得不伦不类，讽刺完人类以己为尊的文明然后用几瓶白酒草草了事？干啥呢？几个外国人也不是很搞笑，就那个像奥巴马的黑哥还有点意思……全片最佳还是归沈腾',)"
"('0',)","('♫LiNg™',)","('2019-02-07',)","('也不能说不好吧，只能说不如预期，与预告片持平，后半段节奏比前半段好，2.5星。某些笑点很尬，某些笑点很恶，只希望以后的喜剧片不要只停留在屎尿屁上吧。最后，有点心疼猴，这种国粹就让它成为历史遗留产物吧。',)"
"('3',)","('魚.',)","('2019-02-07',)","('一股深深的歧视感，到底谁看不起谁',)"
"('3',)","('chubby-jinn',)","('2019-02-06',)","('这他妈都能四星',)"
"('3',)","('happytoby',)","('2019-02-05',)","('片子感觉黑了美国、中国和孙悟空，不知道这片子是怎么过审的。不管在中国和美国放觉得都有问题，完全看不到宁浩精心的剧情设计了，浪费时间之作。',)"
"('2',)","('市民小杨',)","('2019-02-08',)","('我就当这三十几块被偷了。',)"
"('4',)","('福多多',)","('2019-02-05',)","('给一星都多',)"
"('3',)","('PinkCymbaline',)","('2019-02-06',)","('自嗨式猴戏，外星版战狼，望着满太空飞来飞去的雄伟的蛋蛋，沉醉在导演花式吊打高阶生物、威风驯化低等牲畜、将全球第一大国甚至全宇宙都踩在脚下的雄性荷尔蒙里，跟我们的大国气质十分相称，非常适合春节观赏～',)"
"('0',)","('虫虫',)","('2019-02-08',)","('一星送给黄渤演技',)"
"('0',)","('Whatever-ing',)","('2019-02-07',)","('现在的喜剧就是一边心酸一边搞笑 两颗星给沈腾 一出现我就觉得喜感',)"
"('0',)","('般若多目',)","('2019-02-05',)","('类似影片更喜欢《保罗》。讨厌这种踩低捧高颐指气使的小人做派，失去了以往作品中小人物的闪光点，这样的影片有普世价值吗？宣扬的什么意识形态？丑化物欲中国人，纯粹看个热闹。打算再看一遍人猿星球猩球崛起决战猩球解气',)"
"('2',)","('书香世家客栈',)","('2019-02-05',)","('看懂梗了，没意思。再多的笑点，也太低级了',)"
"('1',)","('留鸭人本尊',)","('2019-02-06',)","('看完觉得自己是🐒',)"
