点赞数,姓名,时间,评论
"('9',)","('leslieryan',)","('2019-02-05',)","('韩寒标准文艺风、加上新疆风景宣传片和拉力赛画面拼接！故事内核太小：Chinese victory、必须胜！对于成功的定义太表面！故事的走线断裂、人设分崩离析、父子情感线虚设、对手戏虚设、整个片子给人堆叠的样子：其实这是把一本长篇缩减到一个作文导致的、什么都想说、但什么都没说明白！',)"
"('2',)","('汪金卫',)","('2019-02-07',)","('可能是被某烂片恶心到，因此觉得本片只是单纯的较差而已，倒不至于如坐针毡。修车师傅、大款老板、受伤学生等几个配角的出场均过于生硬缺乏铺垫。每场戏之间跳跃拼凑感极强。突然对唱《光辉岁月》、突然《圣斗士星矢》混搭《灌篮高手》配乐脑洞更是莫名其妙。最重磅的赛车戏除了煽情以外乏善可陈。开放式结局不过不失，但也和整部电影一样拍得拖沓不堪',)"
"('6',)","('大树',)","('2019-02-05',)","('果然不能为了刷脸看电影，前半段强行幽默，后半段强行热血，就是感觉哪儿哪儿都挺假都刻意。演员们都挺顺眼，尤其沈腾，黄景瑜还是很帅，就是戏份少，瑜坊就更少了。',)"
"('3',)","('电个爆炸头',)","('2019-02-07',)","('我肯定是脑子抽风了才会在最穷的时候拿出43块和亲戚们去看这部烂片。飞驰人生啊，在傻逼的轨道上，啊，过年~~~飞驰人生啊，想和亲戚们飞奔到赛道的终点，握手离别，啊，过年~~~飞驰人生里，请记住还有拒绝这个刹车选择，至少要在上车前记得自己的支付宝里其实还有一张五折观影券，这样起码还能拿回20块钱跟自己说，瞧，你还剩下了半路转头回程的路钱。啊，飞驰人生啊~~~~~98分钟过得超级快，转眼就已经完场，睡得还挺熟，值了，买到好睡眠。啊，飞驰人生啊，为何这么快好像又要去上班了，啊，飞驰人生啊，我的运气啥时候也向我飞来？啊......',)"
"('5',)","('徐达多',)","('2019-02-06',)","('这么多年一点长进都没有，还在耍小聪明，还在拍MV，还是毫无叙事技巧，还在用一样的转场手段，一次次毫无节制的用，毫不重要的情节大费笔墨，想看的赛车狂飙点到为止，真是片中韩寒自己写的台词那样：你不是比别人有更多付出，也不比别人在拍电影上更有天赋，你只是坐拥更多的资源获得了更多的关注，靠着浪费资源取得了常人难以拥有的机会去为自己的前半生拍一部电影。这是韩寒式的成功，在电影上面，和郭敬明式成功并无区别。为片尾终于难得的真情怀加一星。',)"
"('5',)","('王富贵',)","('2019-02-06',)","('无聊 尴尬 垃圾',)"
"('4',)","('NatureLB',)","('2019-02-06',)","('自恋暴君',)"
"('5',)","('Hoch',)","('2019-02-05',)","('法律漏洞太多，逻辑也呵呵，为毛要收养来路不明的小孩，还闹出一堆事。一星给黄景瑜的领航员',)"
"('4',)","('近似无限透明的蓝色',)","('2019-02-06',)","('抖机灵与段子终究只能在处女作中被赞扬包容，却无法掩盖日后技穷的窘态。无论逆境崛起还是草根生活状态，处处弥漫着对周星驰低劣的模仿，然而最令人难堪的还是满篇自卑作祟下的无知自大。飞驰人生拍的是韩寒热爱的赛车，那这热爱究竟是什么？职业车手参加非法赛车被禁赛的劣行，变成为了孩子户口的苦衷；仲裁会上天马行空的轻佻行径，何来丝毫的愧疚？热血、天分，如果靠这些就可以打败顶尖的拉力赛车手，那你的热爱只不过是懦弱和意淫。我不介意拍成《taxi》或《速度与激情》，但请给你的“热爱”多些尊重。所谓梦想，是因为现实太残酷才会美丽，而不是让懦夫们看着大屏幕集体撸管达到高潮。',)"
"('6',)","('咸菜帮老大',)","('2019-02-06',)","('导演个人审美趣味展示，甚至凑不成一部电影。',)"
"('3',)","('闫琦',)","('2019-02-07',)","('期待满满，失落满满。韩寒这一标签让我一度点满了青年的恣意纵横般的期待，结局却是极度失败的迎合式快消品。韩寒对电影的审美是不是进入了误区，何以在文学世界中的凌厉解构与恢弘塑造，来到声光电的世界却塌成坍圮——到底是何种力量，消磨、消弭了两位巨星的创造力？真的存在这样一种力量么？',)"
"('6',)","('浆果向',)","('2019-02-05',)","('片子是真烂，不过居然有泪点？？？？',)"
"('3',)","('LaNotte',)","('2019-02-05',)","('最后的镜头致敬但超越了《末路狂花》，后者一个定格草草结尾实在是把那一口豪迈的舒畅给憋回去了；而本片结尾的超倍数拉长时空则允许了我们在屏息中猜想，然后慢慢接受和释怀。但除此之外这片子笑点和剧情推动都是垃圾。',)"
"('3',)","('ladbat',)","('2019-02-05',)","('比赛部分是能感受到那份激情和热爱的，但是其他方面，简直emmmm…',)"
"('3',)","('优优飞扬',)","('2019-02-06',)","('段子拼凑的痕迹依旧很重，始终没有塑造立体丰满的人物，故事的可信度自然不高。张弛与林臻东第一次见面响起SD的BGM，真的尬的我满脸通红，尽管后来用小孩子视角来补救，是拙计，00后也喜欢SD有可能，但也不可信。',)"
"('3',)","('Monarkiii',)","('2019-02-07',)","('…真的睿智',)"
"('4',)","('贝塔先生',)","('2019-02-05',)","('献给理想吧',)"
"('3',)","('萍水相逢',)","('2019-02-08',)","('三部最差！段子尴尬突兀又出戏，为了搞笑强行割裂剧情，竞技运动拍的这么平淡也是厉害，都快睡着了',)"
"('6',)","('运仔火贱',)","('2019-02-05',)","('周星驰机械模仿秀，各种私货大杂烩，耍小聪明的结尾，看似是更商业化的喜剧了，其实就是憋了一堆段子在更多的场景演出来，拼凑成电影，每个人都是功能性角色，出场说完台词就走，只有韩寒自己是主角。赛车段落拍成体育直播花那么多钱是为了啥，想致敬徐浪想总结赛车生涯想感叹中年危机没必要拍成这样。',)"
"('5',)","('Tom',)","('2019-02-06',)","('涉及最熟悉的题材，作为导演的韩寒却没有把职业赛车拍出职业感，在插科打诨和不合时宜的煽情之中，竞技体育和极限运动本该有的张力被简单化了，喜剧性上几个包袱和歌词梗玩得并不高明，看得出韩寒在类型片商业化和私人情感致敬之间保持平衡的努力，但整部影片呈现出的效果却是割裂的。',)"
"('3',)","('寂寞星球的玫瑰',)","('2019-02-06',)","('文字和赛车是韩寒的私货，但大多数喜剧桥段是沈腾和他团队的风格，因此总体印象上像是夏洛特烦恼和西虹市首富后的延续',)"
"('4',)","('第七大陸',)","('2019-02-05',)","('5.5 赛车戏拍的还可以，在自己擅长的领域能做的东西也更多，但整个电影被切碎了，有各种烂俗喜剧的地方，从小孩子视角去看两人隔空发波那个片段开始，电影就飞了。',)"
"('3',)","('山下猫',)","('2019-02-07',)","('朋友圈里说韩寒用新语言书写电影的人怕不是瞎子吧。拍个开头和结尾，然后中间没有任何起承转合，并列的段子和MV，人物不厌其烦地耍贫嘴和自以为趣的帅不过三秒梗。价值观就是我所说的那种“我是天选之人，我和我的梦想之间只差钱！”。成功靠同行倒霉，你知道五年来我在脑子里练得有多辛苦吗？中年人能不能要点脸呐？从《老炮儿》开始，年轻人被作为老马逆袭的对立一方，但我看这些年轻人还挺可爱的，不会把门第偏见美化成规矩，但因书写立场不同只能给一帮刻奇老鬼陪跑。我没想到韩寒你浓眉大眼的也懂得讨好中年观众，最后给个悲壮镜头试图保个文人的体面，而观众席有人说：“我最讨厌这种没有结局的电影了！”',)"
"('4',)","('老傅卿',)","('2019-02-07',)","('更像是姜文的一步之遥，拍给自己看的，自己看着爽了谁还在意观众啊！',)"
"('4',)","('韭有韭无',)","('2019-02-06',)","('上海大众可拉倒吧，谨以此片纪念开途观超速车祸身亡的总经理吗',)"
"('3',)","('今 敏',)","('2019-02-05',)","('为了你们的人生，加油哈。',)"
"('8',)","('seven eleven',)","('2019-02-05',)","('除了后面的赛车戏，前面百分之八十剧情由各种抖机灵的段子组成，还都不好笑，抖机灵的手法还千篇一律，大吹大擂接一个哑炮，太老套太尬了。',)"
"('1',)","('SELVEN',)","('2019-02-08',)","('35/100 韩寒当年也算民众捧起来的草根明星了，如今屡屡用这种距离现实遥远、充满意淫的励志故事、低级设计的喜剧、毫无进步的制作放在春节档薅民众的羊毛，也算是真实的“恩将仇报”了。',)"
"('0',)","('jj73浅之',)","('2019-02-08',)","('相比前两部，画面和镜头时髦感提升很多，是进步。节奏依然差得令人发指。敬佩韩寒坚持拍自己热衷和喜欢的赛车题材，但是既然要拍，能不能好好拍出竞技体育的魅力？全片只有最后20分钟展现了一点点皮毛，观众记住的全是耍嘴皮子无营养的尬笑，走出影厅就忘了。你说你费劲吧啦整了这个题材，最后没人会因为这部电影迷上赛车，我特么都觉得可惜。如果这就是导演想要的，我ojbk',)"
"('2',)","('匿名用户',)","('2019-02-07',)","('一旦抛开韩寒式的金句假文艺做支撑，就能看出韩寒的电影素养和导演力几乎为0。',)"
"('6',)","('沙雕电影',)","('2019-02-07',)","('韩寒系开心麻花。这片子和韩寒本人一样，是个在虎扑jrs和文艺青年审美之间摇摆不定的四不像。',)"
"('1',)","('爱慕拆尼斯',)","('2019-02-08',)","('前半部分是在迎合投资方的要求，或许只有最后的拉力赛才是韩寒最想表达的东西。',)"
"('0',)","('蜉蝣',)","('2019-02-08',)","('开心麻花+赛车实况录像。',)"
"('0',)","('Marni',)","('2019-02-07',)","('故事情节和笑点设置都很韩寒，也还行吧，反正比外星人和新喜剧强。',)"
"('2',)","('半壁店店长',)","('2019-02-08',)","('不能因为沈腾演就算喜剧啊，果然是韩寒那种装逼类型的电影。',)"
"('7',)","('全是未来',)","('2019-02-05',)","('1.这不是一部电影，这是一集MV。 2.票钱无所谓，但是开心麻花这几个演员确实被毁了。 3.电影真的没这么简单，但也没这么难，用心啊。 4.太差了真的。就当花钱听歌吧。',)"
"('3',)","('Aigner',)","('2019-02-05',)","('感觉不太好，让人看不懂，也没什么笑点',)"
"('1',)","('张库岑',)","('2019-02-07',)","('这叫电影？',)"
"('1',)","('光影魔术手',)","('2019-02-05',)","('也算喜剧？',)"
"('5',)","('BLACK SUGAR',)","('2019-02-06',)","('影评一路的四星 五星是谁打的？韩寒的剧情片套路 可能也就到头了。',)"
"('0',)","('莫呼洛迦-屁股上的青春在歌唱',)","('2019-02-07',)","('我的媽呀！中年危機那麼難接受嗎？中年男子咋老是那麼熱衷意淫自己永遠年輕 永遠熱血 永遠雞兒梆硬啊？我以為韓寒這種文青應該不搞夢遺那一套 殊不知 到最後還是要在春夢讓自己射得又高又遠 中年男子這種對自己歇斯底里的性幻想自覺羅曼蒂克 其實也不過是沈溺那根被社會軟化了的精神陽具罷了 P.S 沈騰的戲真不錯',)"
"('2',)","('L.John',)","('2019-02-06',)","('臭狗屎，真的是臭狗屎，剧情拖沓，赛车戏都拍的那么烂，去你妈的。潘晓婷好漂亮嘻嘻😁😁😁',)"
"('0',)","('钗头金',)","('2019-02-08',)","('一直在文艺的小奶锅里秘制不着四六的私房菜。如今的大排档挣钱，于是就围着电磁炉，油盐不进地生炒了沈腾。',)"
"('1',)","('今天开始闪闪',)","('2019-02-07',)","('什么东西？ 幼稚鬼',)"
"('1',)","('Stat杰',)","('2019-02-08',)","('韩寒用三部电影分别证明了，他是一个畅销书写手，他是一个小镇青年，他是一个赛车手，但他觉对不是个好导演，更不是大众所认识的公知，就拍电影这一点来说，甚至他还不如他的老对手郭敬明，毕竟人家是真物质',)"
"('1',)","('毒舌列文',)","('2019-02-05',)","('刚看完《飞驰人生》，全片基本粗制滥造，充斥着算计和套路观众的小心机，而看不到半分诚意！于是，不禁产生了一个感慨：以前那个活在人们记忆中的写文章的韩寒有多美好，那么如今这个展现在大家眼前的拍电影的韩寒就有多堕落！',)"
"('0',)","('峰瑞',)","('2019-02-08',)","('赛车沦为了噱头，故事由段子堆积而成，中年油腻男如何重拾自信。标签的确就应该只是喜剧，食之无味的乐乐就得了。一个写小说的人，故事逻辑拍成这样，真是在娱乐大众。模式copy开心麻花，客串的几个演员不错，尤其是腾格尔大叔，真是无比怀念《阿郎的故事》中的发哥结尾骑摩托的瞬间。',)"
"('0',)","('志大无胸',)","('2019-02-08',)","('段子部分尴尬的连沈腾也束手无策，正经赛车部分又觉得沈腾好违和......',)"
"('0',)","('牛叔Dean',)","('2019-02-07',)","('这分刷得',)"
"('0',)","('Jorrow',)","('2019-02-06',)","('投机主义者韩寒',)"
"('0',)","('挪威耀阳',)","('2019-02-06',)","('韩寒目前拍的三部电影，观感最好的居然是第一部，后面真是一部比一部糟……',)"
"('0',)","('掩耳狼',)","('2019-02-07',)","('想看更多张本煜和尹昉的作品！特别想看张本煜演身世可怜的变态罪犯！！！整部电影太gay了，摔跤吧爸爸+末路狂花即视感。剪辑一塌糊涂 故事线昏迷',)"
"('2',)","('翟鸡毛',)","('2019-02-05',)","('狗屎。',)"
"('1',)","('呼啦圈伞',)","('2019-02-06',)","('韩寒23333',)"
"('1',)","('ccjd',)","('2019-02-05',)","('太做作',)"
"('1',)","('黑眉下的绿眼睛',)","('2019-02-08',)","('看完这电影我觉得韩某人无论对赛车还是对电影都没多大爱意，更遑论敬意。即使对创作本身如果有足够严肃精神的话都不会产生这样只顾堆砌虚假情感，连技术和技巧都没有的片子。配乐更是一踏糊涂，胡乱穿插经典流行歌曲，白白糟蹋好东西。',)"
"('1',)","('xiaohui',)","('2019-02-06',)","('剧情没什么新意，感觉是在尬聊，嗑睡了好几次',)"
"('0',)","('fernan_chen',)","('2019-02-06',)","('对“娘娘腔”的恶意和对郭嘉的谄媚高歌让我只想打低分 这还是韩寒吗',)"
"('0',)","('匪子',)","('2019-02-06',)","('2.5//彻头彻尾的草根英雄主义。当导演的韩寒和周杰伦实在没什么差别，炫了一大波赛车知识、煽情音乐泛滥成灾、剧情拖沓得让人想拉快进看最后一战。尹正哭戏倒是挺好的，让那些煽情背景音不至于太浮夸。最后，尹昉好帅呀！盘靓条顺的',)"
"('1',)","('oweedon',)","('2019-02-06',)","('烂。家里10个人去看睡着了4个，还有5个并不觉得有意思，最后1个为了等阿信片尾曲到最后，结果歌还被影院掐了哈哈。真是对韩寒伪装出来的牛逼恶心坏了。',)"
"('1',)","('J',)","('2019-02-06',)","('圈钱 无聊 不好笑 和乘风破浪不是一个档次',)"
"('1',)","('Vic',)","('2019-02-05',)","('我喜欢这个结局—飞向太阳',)"
"('2',)","('冬瓜',)","('2019-02-06',)","('依然充满了段子式的小聪明，越来越让人生厌了。最要命的是，明明主人公自己犯的错，最后还非拔高到什么奉献的高度，真的不明白奉献在哪里，感人在哪里。',)"
"('1',)","('Xieirse',)","('2019-02-05',)","('赛车手未必能拍好赛车戏。',)"
"('1',)","('萧山郭采洁',)","('2019-02-06',)","('韩寒的水平下滑了',)"
"('0',)","('玄道',)","('2019-02-06',)","('尬',)"
"('0',)","('emily',)","('2019-02-05',)","('起点虽低，的确是每部有进步',)"
"('0',)","('沙漠中的西蒙',)","('2019-02-06',)","('3分，一场比赛，考驾照拉赞助一小时。【分数范围3-4分】',)"
"('1',)","('鱼主播',)","('2019-02-05',)","('嗯，还是那个会把一个本质上还可以的故事拍成碎片化电影的八零后愤青导演。',)"
"('0',)","('我是美工',)","('2019-02-08',)","('片子真是没意思啊',)"
"('1',)","('阿 荞',)","('2019-02-07',)","('玩烂梗真的没意思 这种憋着闷气拍喜剧 真的让我笑不起来',)"
"('3',)","('顗禮',)","('2019-02-06',)","('作为一个很喜欢韩寒前两部片子的人，只能说失望大于期望；片子短的有点离谱，能理解档期因素，但是本片并没有做到短小精悍，反而把韩寒作为非专业导演的缺点全暴露了出来，前半段基本是靠韩寒的“打脸式”笑点拼起来，还拼的支离破碎、节奏失衡；更别说什么人物塑造，大多数只是走走过场罢了。韩寒擅长的塞车部分还算好看但远没有吹的那么燃，更可怕的是片尾彩蛋早在片方放出的第一支预告里透露出来了，这能行？',)"
"('1',)","('一字',)","('2019-02-06',)","('一部赛车电影，更喜欢的是女孩子吧。 叙事很碎，沈腾也不适合这种角色。',)"
"('3',)","('纨绔',)","('2019-02-05',)","('韩寒怕是只会开车',)"
"('1',)","('中年社畜人渣',)","('2019-02-06',)","('不如韩寒前几部好看了，段子老套，赛车部分也不够燃。歌曲奉献好听。',)"
"('1',)","('张西岸生',)","('2019-02-06',)","('啥玩意',)"
"('1',)","('二岩',)","('2019-02-07',)","('曾经的文艺男转型失败之作，下次这钱不好骗了。恭喜韩寒终于向郭敬明学习了。',)"
"('0',)","('殴打苏笑语六次',)","('2019-02-05',)","('给国产电影评分就是依靠一种情绪 给外国电影打分又要充分发挥您的职业素养 傻逼',)"
"('5',)","('收集群风',)","('2019-02-05',)","('看了一早上中年失意➕电视汽车比赛，可能是没睡够，头疼的炸裂。',)"
"('0',)","('SK',)","('2019-02-05',)","('那个打五星说“打一星的先死个全家 谢谢”的，大概自己没有全家还眼红别人有全家😂🙂',)"
"('0',)","('风尘',)","('2019-02-08',)","('2.5 有佳句，无佳篇 甚至是因为韩寒个人审美上的问题 或者说是媚俗的缘故 已经让电影变的不成段落了 而在这此基础上 韩寒的铜臭气真的压不住了 而其故事线上的断裂也真的是让人头大',)"
"('0',)","('困斯基',)","('2019-02-07',)","('全方位的土和卖弄。最后的守望先锋梗太刻意了。',)"
"('2',)","('_ 弋筱浠 💤',)","('2019-02-08',)","('韩寒，听过的歌，还蛮多！',)"
"('1',)","('小.莹.子',)","('2019-02-06',)","('垃圾电影，看了15分钟扭头和冰哥说坐不住了。剧情结构毫无新意，最后指望能燃一点，结果突然插进了赛事现场报道，感觉被浇了一盆冷水彻底熄灭。导演本人，为了宣扬赛车而拍的一部很尬的电影。',)"
"('0',)","('孟三哥',)","('2019-02-05',)","('前面看的昏昏欲睡，就开车最后还行，当然很大可能是因为以前看了十来年f1 。',)"
"('0',)","('猪贱疯',)","('2019-02-05',)","('比前两部都要差 幕与幕之间有断裂感 与孩子 朋友的关系也流于表面 而且鲜有让人发自内心笑出来的桥段 幸好最后决战处理得还不错 飞向悬崖仿佛末路狂花',)"
"('0',)","('hysterical',)","('2019-02-07',)","('一个半小时的电影花了一个小时在无意义的打打闹闹，然后再花20分钟炫酷装叉，最后10分钟又生硬停场……尴尬至极，为搞笑而搞笑的电影是最烂的！',)"
"('0',)","('水夫兔',)","('2019-02-06',)","('喝！呸！',)"
"('2',)","('飞鸢泛月',)","('2019-02-06',)","('沈腾都救不了这部电影。',)"
"('1',)","('一战轩辕',)","('2019-02-05',)","('一般般，韩寒也就这水平了',)"
"('1',)","('计算幸福',)","('2019-02-05',)","('what?还不如小品',)"
"('1',)","('王毛毛',)","('2019-02-06',)","('老梗堆积 配乐瞎配 剪辑混乱 不知所云 （看到开头猜到结尾） （成年人的崩溃是从借钱开始的）',)"
"('1',)","('YVE',)","('2019-02-05',)","('垃圾 弱智 韩寒已经不会好好写一个故事了？剧本台词让我愤怒',)"
"('2',)","('郝小勺',)","('2019-02-05',)","('灵感不够歌来凑，适合屏摄观众录小视频发票圈。',)"
"('1',)","('Wingsu',)","('2019-02-07',)","('真韩寒',)"
"('1',)","('一只吉',)","('2019-02-05',)","('表演（大概和st八字不合）、笑点（重复的模式）和戏剧冲突（硬来），加上几首劲歌金曲串烧。行吧。',)"
"('0',)","('子弹飞越大吉岭',)","('2019-02-05',)","('剧本已经偷懒到一种什么程度呢？一个拉赞助的核心事件，变换十几种花样轮遛一遍，期间就用从《后会无期》时期就被用烂的“先崇高，再打破”的编段子方式塞满各种所谓笑料，人物前后性格行为逻辑肯定是顾不上了，到快结束的时候可能编剧也觉得前面太平了，得来个危机事件了，Duang的赛车被撞了，没消三分钟就给被竞争对手给修好了，可你前面还誓死不向大资本低头呢，这都什么逻辑啊，最最最重要的是，作为一部赛车片，赛车场面拍的真是太难看了！！！',)"
"('0',)","('深邃',)","('2019-02-07',)","('《极速风流》里亨特超过尼基劳达拿到冠军很重要是因为他雨天豁命比赛而劳达认为安全因素更重要，合情合理的同时又与两个人的个性刻画相统一。相比之下韩寒只能说拍了个用爱发电的励志片，当成拉力赛的科普片看也成。不认同里面的价值观表达，倒是蛮喜欢这个致敬《末路狂花》的结尾。',)"
"('2',)","('李三川',)","('2019-02-05',)","('就这也拿的出手？你不进步也就罢了，退步就是问题了',)"
"('1',)","('嘉树',)","('2019-02-07',)","('白费我熬夜看片。。励志片不励志。。。还有错误的价值观。。。',)"
"('2',)","('四黑四白',)","('2019-02-05',)","('韩寒向全国观众介绍自己爱好的宣传片',)"
"('1',)","('Xiao',)","('2019-02-06',)","('方法论太多……这会加快中国电影的死亡',)"
"('0',)","('山下',)","('2019-02-08',)","('搞笑部分质感很奇怪',)"
"('0',)","('張白露',)","('2019-02-05',)","('赛车电影界的直男癌。《头文字D》、《速激》系列是上映要看，隔那么久还要找资源回看的那种，此篇到此为止。',)"
"('2',)","('臊子肉',)","('2019-02-05',)","('垃圾…………画面剪的眼花缭乱…bgm响的突兀…结尾也把我给看迷了…太tm对付了',)"
"('0',)","('续燚淼',)","('2019-02-07',)","('最后三十分钟的赛车戏真的很棒，韩寒把自己热爱并熟悉的领域成功地以很专业很激情的角度展现给了观众。可惜前半部只能说是网络段子和无聊笑话的堆砌，我明白以韩寒的人生态度不可能拍成一部严肃电影，但可惜不再是前两部中那种作家式的幽默与调侃了，剧情的精彩度更是基本减少到了0，你的热爱观众感受到了，但也请继续做个有态度的段子手',)"
